Timestamp,RangeMilliMeter
1000,25
11000,25
22000,7
34000,7
46000,23
57000,24
67000,24
78000,12
89000,12
101000,35
113000,22
124000,22
136000,24
147000,35
159000,35
171000,26
181000,26
193000,35
203000,31
214000,31
226000,27
237000,28
247000,28
258000,23
269000,23
279000,34
291000,30
303000,30
315000,27
326000,27
338000,13
349000,13
361000,13
373000,27
383000,27
394000,27
404000,26
416000,26
427000,25
438000,31
449000,31
460000,13
472000,19
483000,19
493000,24
504000,24
516000,24
527000,34
538000,34
549000,18
561000,18
573000,40
585000,15
597000,15
608000,18
618000,17
629000,17
641000,26
652000,20
662000,20
673000,25
684000,25
696000,24
706000,25
716000,25
728000,26
740000,26
750000,24
760000,24
771000,28
782000,36
794000,36
806000,33
817000,15
829000,15
841000,28
851000,28
862000,15
873000,35
884000,35
895000,21
906000,21
917000,21
928000,27
939000,27
951000,26
963000,24
975000,24
986000,32
997000,21
1009000,21
1020000,29
1031000,29
1044000,36
1056000,28
1067000,28
1077000,23
1088000,25
1099000,25
1111000,28
1122000,28
1132000,23
1143000,29
1154000,29
1165000,26
1176000,26
1187000,35
1198000,18
1209000,18
1220000,21
1231000,21
1242000,26
1253000,15
1264000,15
1275000,17
1286000,24
1297000,24
1308000,33
1319000,33
1330000,15
1341000,19
1352000,19
1363000,18
1373000,18
1384000,21
1395000,25
1406000,25
1417000,22
1429000,22
1440000,31
1451000,34
1462000,34
1473000,31
1484000,34
1497000,34
1509000,26
1520000,26
1531000,28
1542000,28
1554000,28
1564000,34
1575000,27
1586000,27
1597000,15
1608000,15
1619000,22
1629000,22
1640000,24
1651000,30
1662000,30
1673000,44
1684000,31
1696000,31
1707000,23
1718000,23
1729000,24
1741000,23
1751000,23
1762000,31
1773000,31
1785000,35
1796000,41
1806000,41
1817000,21
1828000,24
1839000,24
1850000,29
1862000,29
1874000,21
1885000,41
1895000,41
1906000,37
1917000,37
1928000,31
1938000,17
1949000,17
1960000,30
1971000,30
1983000,37
1994000,24
2005000,24
2015000,11
2026000,11
2037000,21
2047000,26
2059000,26
2070000,31
2082000,22
2093000,22
2104000,35
2115000,35
2126000,22
2137000,25
2148000,25
2159000,22
2170000,22
2181000,20
2192000,23
2203000,23
2215000,19
2227000,21
2238000,21
2249000,6
2259000,6
2271000,18
2282000,25
2293000,25
2304000,28
2315000,28
2326000,23
2337000,28
2348000,28
2359000,19
2370000,19
2381000,28
2392000,17
2403000,17
2414000,18
2425000,17
2436000,17
2447000,22
2458000,22
2469000,16
2481000,36
2493000,36
2505000,33
2516000,37
2527000,37
2537000,26
2548000,26
2560000,16
2572000,18
2584000,18
2596000,22
2608000,19
2619000,19
2630000,17
2642000,29
2654000,29
2666000,15
2677000,15
2688000,33
2699000,28
2710000,28
2721000,27
2732000,27
2743000,25
2754000,25
2765000,25
2777000,17
2788000,29
2800000,29
2812000,10
2824000,45
2835000,45
2846000,14
2858000,14
2868000,27
2879000,24
2890000,24
2901000,29
2912000,29
2924000,11
2935000,20
2946000,20
2958000,18
2969000,19
2980000,19
2991000,11
3002000,11
3013000,33
3023000,34
3033000,34
3045000,10
3056000,10
3067000,19
3078000,25
3089000,25
3100000,26
3112000,37
3123000,37
3135000,38
3146000,38
3157000,36
3168000,14
3179000,14
3190000,27
3200000,27
3212000,34
3223000,18
3234000,18
